arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
ESTR-1-1.csv,,,1,7.516667,,,0.522406,
ESTR-1-1.csv,,,2,10.033333,,,29.143022,
ESTR-1-1.csv,,,3,12.100000,Xilose,11.723015,0.406147,0.139810
ESTR-1-1.csv,,,4,21.866667,,,0.365391,
ESTR-1-2.csv,,,1,7.500000,,,0.510377,
ESTR-1-2.csv,,,2,10.033333,,,29.284676,
ESTR-1-2.csv,,,3,12.100000,Xilose,11.723015,0.395246,0.136364
ESTR-1-2.csv,,,4,21.866667,,,0.347815,
ESTR-1-3.csv,,,1,7.516667,,,0.553158,
ESTR-1-3.csv,,,2,10.033333,,,29.946041,
ESTR-1-3.csv,,,3,12.116667,Xilose,11.723015,0.419543,0.144046
ESTR-1-3.csv,,,4,21.866667,,,0.384730,
ESTR0-1.csv,,,1,7.816667,,,0.498315,
ESTR0-1.csv,,,2,8.266667,,,1.044297,
ESTR0-1.csv,,,3,9.216667,Celobiose,8.810560,2.045350,0.456173
ESTR0-1.csv,,,4,10.033333,,,28.759913,
ESTR0-1.csv,,,5,11.333333,Glicose,10.936973,14.704476,3.612153
ESTR0-1.csv,,,6,12.150000,Xilose,11.723015,6.069317,1.930284
ESTR0-1.csv,,,7,17.833333,,,0.176080,
ESTR0-1.csv,,,8,21.866667,,,0.370601,
ESTR0-2.csv,,,1,7.816667,,,0.506418,
ESTR0-2.csv,,,2,8.266667,,,1.072800,
ESTR0-2.csv,,,3,9.216667,Celobiose,8.810560,2.085805,0.465017
ESTR0-2.csv,,,4,10.033333,,,29.163664,
ESTR0-2.csv,,,5,11.333333,Glicose,10.936973,14.875275,3.653790
ESTR0-2.csv,,,6,12.150000,Xilose,11.723015,6.146356,1.954641
ESTR0-2.csv,,,7,17.833333,,,0.181994,
ESTR0-2.csv,,,8,21.850000,,,0.361829,
ESTR0-3.csv,,,1,7.816667,,,0.489848,
ESTR0-3.csv,,,2,8.266667,,,1.050780,
ESTR0-3.csv,,,3,9.216667,Celobiose,8.810560,2.059741,0.459319
ESTR0-3.csv,,,4,10.033333,,,29.266108,
ESTR0-3.csv,,,5,11.333333,Glicose,10.936973,14.924703,3.665840
ESTR0-3.csv,,,6,12.166667,Xilose,11.723015,6.152348,1.956535
ESTR0-3.csv,,,7,17.850000,,,1.433803,
ESTR0-3.csv,,,8,21.866667,,,1.869513,
ESTR1-1.csv,,,1,7.816667,,,0.591315,
ESTR1-1.csv,,,2,8.283333,,,1.052106,
ESTR1-1.csv,,,3,9.216667,Celobiose,8.810560,2.068385,0.461209
ESTR1-1.csv,,,4,10.050000,,,28.752860,
ESTR1-1.csv,,,5,11.333333,Glicose,10.936973,21.106644,5.172886
ESTR1-1.csv,,,6,12.150000,Xilose,11.723015,8.229056,2.613109
ESTR1-1.csv,,,7,17.833333,,,0.277952,
ESTR1-1.csv,,,8,21.866667,,,0.353726,
ESTR1-2.csv,,,1,6.983333,,,0.065794,
ESTR1-2.csv,,,2,7.816667,,,0.622061,
ESTR1-2.csv,,,3,8.283333,,,1.066535,
ESTR1-2.csv,,,4,9.216667,Celobiose,8.810560,2.159765,0.481185
ESTR1-2.csv,,,5,10.050000,,,29.968442,
ESTR1-2.csv,,,6,11.333333,Glicose,10.936973,24.433791,5.983984
ESTR1-2.csv,,,7,12.150000,Xilose,11.723015,9.420261,2.989722
ESTR1-2.csv,,,8,17.833333,,,0.356816,
ESTR1-2.csv,,,9,21.883333,,,0.393252,
ESTR1-3.csv,,,1,6.983333,,,0.307706,
ESTR1-3.csv,,,2,7.816667,,,0.636234,
ESTR1-3.csv,,,3,8.266667,,,1.118818,
ESTR1-3.csv,,,4,9.216667,Celobiose,8.810560,2.188628,0.487494
ESTR1-3.csv,,,5,10.050000,,,30.175831,
ESTR1-3.csv,,,6,11.333333,Glicose,10.936973,22.144063,5.425790
ESTR1-3.csv,,,7,12.150000,Xilose,11.723015,8.665318,2.751038
ESTR1-3.csv,,,8,17.833333,,,0.316985,
ESTR1-3.csv,,,9,21.866667,,,0.381999,
ESTR10-1.csv,,,1,7.816667,,,0.633398,
ESTR10-1.csv,,,2,8.283333,,,0.948868,
ESTR10-1.csv,,,3,9.216667,Celobiose,8.810560,2.298707,0.511557
ESTR10-1.csv,,,4,10.050000,,,31.676330,
ESTR10-1.csv,,,5,11.350000,Glicose,10.936973,38.599365,9.437295
ESTR10-1.csv,,,6,12.150000,Xilose,11.723015,13.419151,4.254015
ESTR10-1.csv,,,7,17.850000,,,0.578443,
ESTR10-1.csv,,,8,21.866667,,,0.372372,
ESTR10-2.csv,,,1,7.816667,,,0.600971,
ESTR10-2.csv,,,2,8.283333,,,0.924191,
ESTR10-2.csv,,,3,9.216667,Celobiose,8.810560,2.262916,0.503733
ESTR10-2.csv,,,4,10.050000,,,31.396207,
ESTR10-2.csv,,,5,11.350000,Glicose,10.936973,38.186567,9.336662
ESTR10-2.csv,,,6,12.150000,Xilose,11.723015,13.312987,4.220450
ESTR10-2.csv,,,7,17.850000,,,0.522084,
ESTR10-2.csv,,,8,21.883333,,,0.336766,
ESTR10-3.csv,,,1,7.816667,,,0.593738,
ESTR10-3.csv,,,2,8.283333,,,0.896616,
ESTR10-3.csv,,,3,9.216667,Celobiose,8.810560,2.184468,0.486585
ESTR10-3.csv,,,4,10.050000,,,30.257272,
ESTR10-3.csv,,,5,11.350000,Glicose,10.936973,36.847812,9.010298
ESTR10-3.csv,,,6,12.150000,Xilose,11.723015,12.808285,4.060883
ESTR10-3.csv,,,7,17.850000,,,0.523764,
ESTR10-3.csv,,,8,21.883333,,,0.384555,
ESTR11-1.csv,,,1,6.983333,,,0.170813,
ESTR11-1.csv,,,2,7.816667,,,0.619804,
ESTR11-1.csv,,,3,8.283333,,,0.925369,
ESTR11-1.csv,,,4,9.216667,Celobiose,8.810560,2.242352,0.499238
