amostra,replica,Celobiose,Glicose,Xilose
-1,1,0.088935,0.154821,9.225290
-1,2,0.085093,0.151888,9.270075
-1,3,0.093162,0.162317,9.479173
0,1,0.090074,0.148948,9.104166
0,2,0.088156,0.150923,9.231816
0,3,0.417736,0.146883,9.264205
1,1,0.086385,0.171619,9.101936
1,2,0.095025,0.043507,9.486255
1,3,0.092565,0.102481,9.551824
2,1,0.092491,0.114715,9.511498
2,2,0.092778,0.163596,8.963923
2,3,0.090799,0.046709,9.659656
3,1,0.089355,0.179942,9.484657
3,2,0.093153,0.183959,9.754176
3,3,0.088748,0.182388,9.789490
4,1,0.092650,0.103988,9.341567
4,2,0.091647,0.176646,9.384197
4,3,0.085616,0.177086,9.469008
5,1,0.095561,0.176249,9.492768
5,2,0.086745,0.182741,9.845393
5,3,0.086221,0.185028,10.028198
6,1,0.087657,0.181895,9.794341
6,2,0.085868,0.181371,9.924437
6,3,0.088983,0.180903,9.803407
7,1,0.085958,0.175816,9.470910
7,2,0.087807,0.180950,9.762376
7,3,0.085587,0.179461,9.820583
8,1,0.086139,0.165986,9.200367
8,2,0.085669,0.170407,9.454462
8,3,0.088055,0.179578,9.786918
9,1,0.085910,0.178379,9.756259
9,2,0.095666,0.183621,10.150008
9,3,0.082707,0.054291,10.056480
10,1,0.090461,0.181878,10.026223
10,2,0.082677,0.173973,9.937659
10,3,0.093124,0.172210,9.577572
11,1,0.091814,0.069109,9.799794
11,2,0.090481,0.054618,9.982926
11,3,0.096493,0.720572,9.739205
12,1,0.092840,0.088300,10.079616
12,2,0.091392,0.182415,10.267179
12,3,0.093393,0.090512,9.909916
13,1,0.091342,0.054070,10.062561
13,2,0.092480,0.085360,10.294794
13,3,0.083648,0.182772,10.281710
14,1,0.087112,0.111740,11.147337
14,2,0.045983,0.076464,10.900089
14,3,0.046858,0.074465,11.151912
