arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
E08-11.csv,-1,1,1,8.383333,,,0.131916,
E08-11.csv,-1,1,2,9.333333,Celobiose,,0.350984,0.085785
E08-11.csv,-1,1,3,10.200000,,,27.781525,
E08-11.csv,-1,1,4,11.450000,Glicose,,2.639166,0.670848
E08-11.csv,-1,1,5,12.316667,,,0.732602,
E08-11.csv,-1,1,6,21.966667,,,0.337689,
E08-12.csv,-1,2,1,8.383333,,,0.143715,
E08-12.csv,-1,2,2,9.333333,Celobiose,,0.361828,0.088156
E08-12.csv,-1,2,3,10.200000,,,27.278411,
E08-12.csv,-1,2,4,11.450000,Glicose,,2.600441,0.661408
E08-12.csv,-1,2,5,12.333333,,,0.750972,
E08-12.csv,-1,2,6,21.983333,,,0.332230,
E08-13.csv,-1,3,1,8.383333,,,0.135692,
E08-13.csv,-1,3,2,9.333333,Celobiose,,0.365579,0.088976
E08-13.csv,-1,3,3,10.200000,,,27.187721,
E08-13.csv,-1,3,4,11.450000,Glicose,,2.612786,0.664417
E08-13.csv,-1,3,5,12.316667,,,0.756058,
E08-13.csv,-1,3,6,21.966667,,,0.360274,
E0801.csv,0,1,1,8.800000,,,0.387939,
E0801.csv,0,1,2,9.333333,Celobiose,,0.377225,0.091522
E0801.csv,0,1,3,10.200000,,,27.166820,
E0801.csv,0,1,4,11.450000,Glicose,,2.773735,0.703654
E0801.csv,0,1,5,12.283333,Xilose,,1.219560,0.396980
E0801.csv,0,1,6,21.966667,,,0.368441,
E0802.csv,0,2,1,8.800000,,,0.361939,
E0802.csv,0,2,2,9.333333,Celobiose,,0.365531,0.088965
E0802.csv,0,2,3,10.200000,,,27.786910,
E0802.csv,0,2,4,11.450000,Glicose,,2.820740,0.715113
E0802.csv,0,2,5,12.266667,Xilose,,1.232310,0.401011
E0802.csv,0,2,6,21.966667,,,0.348592,
E0803.csv,0,3,1,8.800000,,,0.366113,
E0803.csv,0,3,2,9.333333,Celobiose,,0.368593,0.089635
E0803.csv,0,3,3,10.200000,,,27.759809,
E0803.csv,0,3,4,11.450000,Glicose,,2.832174,0.717900
E0803.csv,0,3,5,12.266667,Xilose,,1.228496,0.399805
E0803.csv,0,3,6,21.966667,,,0.375308,
E08101.csv,10,1,1,7.116667,,,0.096538,
E08101.csv,10,1,2,8.533333,,,0.539063,
E08101.csv,10,1,3,9.350000,Celobiose,,0.768370,0.177026
E08101.csv,10,1,4,10.233333,,,40.456186,
E08101.csv,10,1,5,11.483333,Glicose,,17.167085,4.212492
E08101.csv,10,1,6,12.266667,Xilose,,7.571415,2.405189
E08101.csv,10,1,7,17.983333,,,0.376492,
E08101.csv,10,1,8,22.016667,,,0.132238,
E08102.csv,10,2,1,7.116667,,,0.119163,
E08102.csv,10,2,2,8.516667,,,0.562811,
E08102.csv,10,2,3,9.350000,Celobiose,,0.789590,0.181665
E08102.csv,10,2,4,10.216667,,,41.576719,
E08102.csv,10,2,5,11.483333,Glicose,,17.632999,4.326074
E08102.csv,10,2,6,12.266667,Xilose,,7.781653,2.471658
E08102.csv,10,2,7,17.983333,,,0.382589,
E08102.csv,10,2,8,22.033333,,,0.137019,
E08103.csv,10,3,1,7.100000,,,0.014044,
E08103.csv,10,3,2,8.533333,,,0.545150,
E08103.csv,10,3,3,9.350000,Celobiose,,0.781376,0.179869
E08103.csv,10,3,4,10.233333,,,41.468259,
E08103.csv,10,3,5,11.483333,Glicose,,17.614030,4.321450
E08103.csv,10,3,6,12.266667,Xilose,,7.761300,2.465223
E08103.csv,10,3,7,17.983333,,,0.373343,
E08103.csv,10,3,8,22.000000,,,0.136329,
E0811.csv,1,1,1,8.783333,,,0.300838,
E0811.csv,1,1,2,9.333333,Celobiose,,0.350820,0.085750
E0811.csv,1,1,3,10.200000,,,28.065754,
E0811.csv,1,1,4,11.450000,Glicose,,4.420809,1.105181
E0811.csv,1,1,5,12.250000,Xilose,,2.365283,0.759213
E0811.csv,1,1,6,17.966667,,,0.094210,
E0811.csv,1,1,7,21.966667,,,0.315842,
E08111.csv,11,1,1,7.116667,,,0.059088,
E08111.csv,11,1,2,8.533333,,,0.549014,
E08111.csv,11,1,3,9.350000,Celobiose,,0.773478,0.178143
E08111.csv,11,1,4,10.233333,,,41.393485,
E08111.csv,11,1,5,11.483333,Glicose,,17.935650,4.399855
E08111.csv,11,1,6,12.266667,Xilose,,7.853108,2.494249
E08111.csv,11,1,7,17.983333,,,0.385906,
E08111.csv,11,1,8,22.000000,,,0.151754,
E08112.csv,11,2,1,7.116667,,,0.121771,
E08112.csv,11,2,2,8.516667,,,0.589882,
E08112.csv,11,2,3,9.350000,Celobiose,,0.816553,0.187559
E08112.csv,11,2,4,10.216667,,,43.186556,
E08112.csv,11,2,5,11.483333,Glicose,,18.682813,4.582000
E08112.csv,11,2,6,12.266667,Xilose,,8.187229,2.599885
E08112.csv,11,2,7,17.983333,,,0.398707,
E08112.csv,11,2,8,22.016667,,,0.162056,
E08113.csv,11,3,1,7.116667,,,0.742805,
E08113.csv,11,3,2,8.533333,,,0.548639,
E08113.csv,11,3,3,9.350000,Celobiose,,0.777446,0.179010
E08113.csv,11,3,4,10.233333,,,41.993091,
E08113.csv,11,3,5,11.483333,Glicose,,18.189161,4.461656
E08113.csv,11,3,6,12.266667,Xilose,,7.964312,2.529408
E08113.csv,11,3,7,17.983333,,,0.377729,
E08113.csv,11,3,8,22.016667,,,0.117523,
E0812.csv,1,2,1,8.783333,,,0.322563,
E0812.csv,1,2,2,9.333333,Celobiose,,0.380942,0.092334
E0812.csv,1,2,3,10.200000,,,28.367265,
E0812.csv,1,2,4,11.466667,Glicose,,4.503677,1.125383
E0812.csv,1,2,5,12.266667,Xilose,,2.416818,0.775506
E0812.csv,1,2,6,17.966667,,,0.136286,
E0812.csv,1,2,7,21.983333,,,0.337749,
E08121.csv,12,1,1,8.533333,,,0.319914,
E08121.csv,12,1,2,9.350000,Celobiose,,0.480972,0.114201
E08121.csv,12,1,3,10.216667,,,37.934523,
E08121.csv,12,1,4,11.483333,Glicose,,11.613261,2.858570
E08121.csv,12,1,5,12.266667,Xilose,,5.049024,1.607707
E08121.csv,12,1,6,17.983333,,,0.232700,
E08121.csv,12,1,7,22.016667,,,0.138714,
E08122.csv,12,2,1,8.500000,,,0.337648,
E08122.csv,12,2,2,9.350000,Celobiose,,0.495814,0.117445
E08122.csv,12,2,3,10.216667,,,37.901293,
E08122.csv,12,2,4,11.483333,Glicose,,11.623708,2.861117
E08122.csv,12,2,5,12.266667,Xilose,,5.060648,1.611382
E08122.csv,12,2,6,17.983333,,,0.261137,
E08122.csv,12,2,7,22.000000,,,0.139482,
E08123.csv,12,3,1,8.516667,,,0.334924,
E08123.csv,12,3,2,9.350000,Celobiose,,0.491936,0.116597
E08123.csv,12,3,3,10.216667,,,38.201913,
E08123.csv,12,3,4,11.483333,Glicose,,11.717562,2.883997
E08123.csv,12,3,5,12.266667,Xilose,,5.099057,1.623526
E08123.csv,12,3,6,17.983333,,,0.255214,
E08123.csv,12,3,7,22.000000,,,0.145092,
E0813.csv,1,3,1,8.800000,,,0.555033,
E0813.csv,1,3,2,9.350000,Celobiose,,0.682504,0.158256
E0813.csv,1,3,3,10.200000,,,28.910465,
E0813.csv,1,3,4,11.466667,Glicose,,5.039118,1.255913
E0813.csv,1,3,5,12.250000,Xilose,,2.993588,0.957859
E0813.csv,1,3,6,17.950000,,,0.791206,
E0813.csv,1,3,7,21.966667,,,1.021491,
E08131.csv,13,1,1,8.533333,,,0.346726,
E08131.csv,13,1,2,9.350000,Celobiose,,0.490445,0.116272
E08131.csv,13,1,3,10.216667,,,38.018214,
E08131.csv,13,1,4,11.483333,Glicose,,11.799345,2.903934
E08131.csv,13,1,5,12.266667,Xilose,,5.143201,1.637482
E08131.csv,13,1,6,17.983333,,,0.238060,
E08131.csv,13,1,7,22.016667,,,0.128533,
E08132.csv,13,2,1,8.533333,,,0.337562,
E08132.csv,13,2,2,9.350000,Celobiose,,0.488816,0.115916
E08132.csv,13,2,3,10.216667,,,39.342757,
E08132.csv,13,2,4,11.483333,Glicose,,12.213076,3.004795
E08132.csv,13,2,5,12.266667,Xilose,,5.310570,1.690398
E08132.csv,13,2,6,17.983333,,,0.251133,
E08132.csv,13,2,7,22.016667,,,0.125915,
E08133.csv,13,3,1,8.516667,,,0.338505,
E08133.csv,13,3,2,9.350000,Celobiose,,0.487678,0.115667
E08133.csv,13,3,3,10.216667,,,39.446556,
E08133.csv,13,3,4,11.483333,Glicose,,12.253595,3.014672
E08133.csv,13,3,5,12.266667,Xilose,,5.333324,1.697592
E08133.csv,13,3,6,17.983333,,,0.246792,
E08133.csv,13,3,7,22.000000,,,0.111170,
E08141.csv,14,1,1,8.533333,,,0.345333,
E08141.csv,14,1,2,9.350000,Celobiose,,0.507730,0.120050
E08141.csv,14,1,3,10.216667,,,38.884946,
E08141.csv,14,1,4,11.483333,Glicose,,12.475712,3.068820
E08141.csv,14,1,5,12.266667,Xilose,,5.404093,1.719966
E08141.csv,14,1,6,17.983333,,,0.259379,
E08141.csv,14,1,7,22.000000,,,0.123767,
E08142.csv,14,2,1,8.533333,,,0.377837,
E08142.csv,14,2,2,9.350000,Celobiose,,0.540715,0.127261
E08142.csv,14,2,3,10.216667,,,40.706403,
E08142.csv,14,2,4,11.483333,Glicose,,13.039901,3.206359
E08142.csv,14,2,5,12.266667,Xilose,,5.648317,1.797180
E08142.csv,14,2,6,17.983333,,,0.266341,
E08142.csv,14,2,7,22.016667,,,0.126697,
E08143.csv,14,3,1,8.516667,,,0.360762,
E08143.csv,14,3,2,9.350000,Celobiose,,0.522661,0.123314
E08143.csv,14,3,3,10.216667,,,40.282650,
E08143.csv,14,3,4,11.483333,Glicose,,12.922686,3.177785
E08143.csv,14,3,5,12.266667,Xilose,,5.602481,1.782689
E08143.csv,14,3,6,17.983333,,,0.261516,
E08143.csv,14,3,7,22.016667,,,0.119644,
E08151.csv,15,1,1,7.100000,,,0.107792,
E08151.csv,15,1,2,8.500000,,,0.387570,
E08151.csv,15,1,3,8.550000,,,0.391195,
E08151.csv,15,1,4,9.333333,Celobiose,,0.555673,0.130531
E08151.csv,15,1,5,10.233333,,,41.205544,
E08151.csv,15,1,6,11.483333,Glicose,,13.555338,3.332014
E08151.csv,15,1,7,12.266667,Xilose,,5.831216,1.855006
E08151.csv,15,1,8,17.983333,,,0.284585,
E08151.csv,15,1,9,22.000000,,,0.135125,
E08152.csv,15,2,1,8.500000,,,0.364635,
E08152.csv,15,2,2,9.350000,Celobiose,,0.537124,0.126476
E08152.csv,15,2,3,10.216667,,,40.699986,
E08152.csv,15,2,4,11.483333,Glicose,,13.370446,3.286940
E08152.csv,15,2,5,12.266667,Xilose,,5.746148,1.828111
E08152.csv,15,2,6,17.983333,,,0.261835,
E08152.csv,15,2,7,22.016667,,,0.124560,
E08153.csv,15,3,1,8.500000,,,0.364635,
E08153.csv,15,3,2,9.350000,Celobiose,,0.537131,0.126477
E08153.csv,15,3,3,10.216667,,,40.532462,
E08153.csv,15,3,4,11.483333,Glicose,,13.355006,3.283176
E08153.csv,15,3,5,12.266667,Xilose,,5.744963,1.827736
E08153.csv,15,3,6,17.983333,,,0.264708,
E08153.csv,15,3,7,22.000000,,,0.130044,
E08161.csv,16,1,1,8.516667,,,0.314692,
E08161.csv,16,1,2,9.350000,Celobiose,,0.470753,0.111967
E08161.csv,16,1,3,10.216667,,,38.941836,
E08161.csv,16,1,4,11.483333,Glicose,,12.176136,2.995789
E08161.csv,16,1,5,12.266667,Xilose,,5.204416,1.656836
E08161.csv,16,1,6,17.983333,,,0.228975,
E08161.csv,16,1,7,22.033333,,,0.096720,
E08162.csv,16,2,1,8.500000,,,0.351338,
E08162.csv,16,2,2,9.350000,Celobiose,,0.518270,0.122354
E08162.csv,16,2,3,10.216667,,,41.604860,
E08162.csv,16,2,4,11.483333,Glicose,,13.010844,3.199276
E08162.csv,16,2,5,12.266667,Xilose,,5.568748,1.772024
E08162.csv,16,2,6,17.983333,,,0.268939,
E08162.csv,16,2,7,22.000000,,,0.134041,
E08163.csv,16,3,1,8.483333,,,0.348372,
E08163.csv,16,3,2,9.350000,Celobiose,,0.517048,0.122087
E08163.csv,16,3,3,10.216667,,,40.803086,
E08163.csv,16,3,4,11.483333,Glicose,,12.780319,3.143078
E08163.csv,16,3,5,12.266667,Xilose,,5.472615,1.741630
E08163.csv,16,3,6,17.983333,,,0.264403,
E08163.csv,16,3,7,22.033333,,,0.135332,
E08171.csv,17,1,1,7.183333,,,0.237012,
