arquivo;pico;tempo_pico;A;k;theta
Enz_4x,csv;1;3,083333333333333;0,015983657959312066;;
Enz_4x,csv;2;3,1333333333333333;0,01602501759327177;;
Enz_4x,csv;3;3,316666666666667;0,017790684530022652;;
Enz_4x,csv;4;5,9;0,038496658391850326;;
Enz_4x,csv;5;7,15;0,3439107689585669;;
Enz_4x,csv;6;7,966666666666667;0,45241573033212923;;
Enz_4x,csv;7;8,383333333333333;1,0181252630259225;;
Enz_4x,csv;8;9,316666666666666;2,3436860580400727;;
Enz_4x,csv;9;10,133333333333333;24,74078659623455;;
Enz_4x,csv;10;11,416666666666666;16,192012806538315;;
Enz_4x,csv;11;12,266666666666667;4,346865153579045;;
Enz_4x,csv;12;20,0;0,1912777194621436;;
Enz_4x,csv;13;20,15;0,19128344337497208;;
Enz_4x,csv;14;21,866666666666667;0,1452059295474609;;
Enz_4x,csv;15;24,55;0,023732856051770834;;
EnzFul,csv;1;7,166666666666667;0,2163542484220148;;
EnzFul,csv;2;7,95;2,1764611329789996;;
EnzFul,csv;3;8,366666666666667;4,245341518928662;;
EnzFul,csv;4;9,316666666666666;9,604226264229967;;
EnzFul,csv;5;10,183333333333334;100,03550883811494;;
EnzFul,csv;6;11,4;65,75731546694706;;
EnzFul,csv;7;12,266666666666667;17,563445393755465;;
EnzFul,csv;8;17,883333333333333;0,14439143277981087;;
EnzFul,csv;9;20,433333333333334;0,054608878472153705;;
EnzFul,csv;10;21,9;0,15740513592845662;;
EnzFul,csv;11;24,516666666666666;0,08431807052106921;;
Bag178_4x,csv;1;4,15;0,0;;
Bag178_4x,csv;2;4,35;0,0;;
Bag178_4x,csv;3;7,233333333333333;0,6978098001019346;;
Bag178_4x,csv;4;7,6;8,027106558384205;;
Bag178_4x,csv;5;8,833333333333334;2,3479356845222115;;
Bag178_4x,csv;6;10,133333333333333;26,005256884708704;;
Bag178_4x,csv;7;11,366666666666667;0,6025773305311232;;
Bag178_4x,csv;8;12,183333333333334;3,374739305414456;;
Bag178_4x,csv;9;13,2;1,3334417249218053;;
Bag178_4x,csv;10;14,95;0,15654167277473607;;
Bag178_4x,csv;11;15,866666666666667;0,1299975914874023;;
Bag178_4x,csv;12;17,883333333333333;0,169397746437539;;
Bag178_4x,csv;13;20,366666666666667;0,07720340438076734;;
Bag178_4x,csv;14;21,9;0,19308542185189126;;
Bag32_4x,csv;1;7,15;0,47098311360333345;;
Bag32_4x,csv;2;7,75;0,6615787779536668;;
Bag32_4x,csv;3;8,833333333333334;0,3181841994175441;;
Bag32_4x,csv;4;10,133333333333333;22,010044732769842;;
Bag32_4x,csv;5;12,183333333333334;0,5708195368313694;;
Bag32_4x,csv;6;13,183333333333334;0,24832161764337835;;
Bag32_4x,csv;7;17,883333333333333;0,05215607030502416;;
Bag32_4x,csv;8;21,916666666666668;0,13800348700204898;;
Bag32_4x,csv;9;27,25;0,038154894506231475;;
Bag178,csv;1;7,533333333333333;38,17004851350964;;
Bag178,csv;2;8,833333333333334;9,785439429645132;;
Bag178,csv;3;10,183333333333334;107,23006563812514;;
Bag178,csv;4;11,366666666666667;2,620954957093637;;
Bag178,csv;5;12,183333333333334;13,987066911238927;;
Bag178,csv;6;12,733333333333333;3,6127909241753877;;
Bag178,csv;7;13,2;5,645364927997464;;
Bag178,csv;8;14,933333333333334;0,8578084337017149;;
Bag178,csv;9;15,866666666666667;0,7295016852281664;;
Bag178,csv;10;17,85;0,840272574041717;;
Bag178,csv;11;20,383333333333333;0,2811601371487454;;
Bag178,csv;12;21,9;0,2672323425624693;;
Bag178,csv;13;27,133333333333333;0,11018399444779985;;
Bag178,csv;14;27,28333333333333;0,11093954969949775;;
Enz_16x,csv;1;8,383333333333333;0,25277511484988624;;
Enz_16x,csv;2;9,316666666666666;0,6375859327508976;;
Enz_16x,csv;3;10,133333333333333;6,815740268437064;;
Enz_16x,csv;4;11,4;4,49173208259827;;
Enz_16x,csv;5;12,266666666666667;1,1885363636075097;;
Enz_16x,csv;6;13,7;0,06760474098584501;;
Enz_16x,csv;7;20,116666666666667;0,07050803127846483;;
Enz_16x,csv;8;21,9;0,1095448420434795;;
Enz_16x,csv;9;23,516666666666666;0,0;;
Enz_16x,csv;10;23,73333333333333;0,0;;
Enz_16x,csv;11;24,016666666666666;0,0;;
Enz_16x,csv;12;24,35;0,0;;
Enz_16x,csv;13;24,566666666666663;0,0;;
Bag178_2,5x,csv;1;4,266666666666667;0,08762815906791993;;
Bag178_2,5x,csv;2;7,25;1173,814438141917;;
Bag178_2,5x,csv;3;7,583333333333333;9,989497654292592;;
Bag178_2,5x,csv;4;8,833333333333334;2,849664898336354;;
Bag178_2,5x,csv;5;10,133333333333333;31,319229430710713;;
Bag178_2,5x,csv;6;11,366666666666667;0,7526761437171842;;
Bag178_2,5x,csv;7;12,183333333333334;4,099660413826251;;
Bag178_2,5x,csv;8;12,75;0,9310145229888134;;
Bag178_2,5x,csv;9;13,2;1,6492615850837744;;
Bag178_2,5x,csv;10;14,933333333333334;0,23506917488967988;;
Bag178_2,5x,csv;11;15,866666666666667;0,19241214392430145;;
Bag178_2,5x,csv;12;17,866666666666667;0,22555647439336576;;
Bag178_2,5x,csv;13;20,383333333333333;0,05074171582230659;;
Bag178_2,5x,csv;14;21,883333333333333;0,10936665297377574;;
Bag178_2,5x,csv;15;28,266666666666666;0,042772101208356894;;
Bag178_2,5x,csv;16;28,516666666666666;0,04178469231024227;;
Bag178_2,5x,csv;17;28,716666666666665;0,04077108728631006;;
Bag32_2,5x,csv;1;7,166666666666667;0,7849853780910022;;
Bag32_2,5x,csv;2;7,716666666666667;1,0714392552282144;;
Bag32_2,5x,csv;3;8,85;0,46177100841513846;;
Bag32_2,5x,csv;4;10,15;31,47171283707635;;
Bag32_2,5x,csv;5;12,183333333333334;0,8013616425656471;;
Bag32_2,5x,csv;6;13,2;0,34003512552792686;;
Bag32_2,5x,csv;7;17,883333333333333;0,052450654667957376;;
Bag32_2,5x,csv;8;21,9;0,12513058080994616;;
Bag32_2,5x,csv;9;27,15;0,023732856235677054;;
Enz_2,5x,csv;1;1,6333333333333333;0,019064172569385276;;
Enz_2,5x,csv;2;1,8833333333333333;0,01899203125397529;;
Enz_2,5x,csv;3;2,1;0,01707766891360422;;
Enz_2,5x,csv;4;2,25;0,019052494832062998;;
Enz_2,5x,csv;5;7,15;0,21036228973486998;;
Enz_2,5x,csv;6;7,95;0,7119688415096167;;
Enz_2,5x,csv;7;8,366666666666667;1,4930546102018432;;
Enz_2,5x,csv;8;9,316666666666666;3,4256938074208194;;
Enz_2,5x,csv;9;10,15;36,419422833698825;;
Enz_2,5x,csv;10;11,416666666666666;23,62529517583545;;
Enz_2,5x,csv;11;12,266666666666667;6,32891509065494;;
Enz_2,5x,csv;12;17,866666666666667;0,04708886060080112;;
Enz_2,5x,csv;13;20,5;0,019040013848181426;;
Enz_2,5x,csv;14;20,766666666666666;0,01907439537397146;;
Enz_2,5x,csv;15;21,9;0,1302197317767971;;
Enz_2,5x,csv;16;24,516666666666666;0,041364998519615816;;
Enz_2,5x,csv;17;27,2;0,023494448566397746;;
Enz_2,5x,csv;18;27,416666666666668;0,023860776494777428;;
Bag32,csv;1;7,2;0,06844056697581863;;
Bag32,csv;2;7,633333333333334;3,923401901949005;;
Bag32,csv;3;8,833333333333334;1,3440436071183728;;
Bag32,csv;4;10,183333333333334;91,523361386858;;
Bag32,csv;5;12,183333333333334;2,2931962853947314;;
Bag32,csv;6;13,2;0,9524841872783728;;
Bag32,csv;7;14,916666666666666;0,16325527675866763;;
Bag32,csv;8;17,866666666666667;0,1352930451998761;;
Bag32,csv;9;20,366666666666667;0,0754877173322371;;
Bag32,csv;10;21,883333333333333;0,270871733572337;;
