arquivo,sample_name,injection_date_time_stamp,sample_id_comments,sample_type,sample_injection_volume,sample_amount,detector_name,detector_unit,retention_unit,n_pontos,tempo_final_min
B2ExportedRawData1107.cdf,Glic_3gl_5,20260512185326-0200,"$$ 2.1 vial 1:A,2 injection 1",STANDARD,5.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1112.cdf,Glic_3gl_10,20260512191848-0200,"$$ 2.1 vial 1:A,2 injection 1",STANDARD,10.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1117.cdf,Glic_3gl_20,20260512194412-0200,"$$ 2.1 vial 1:A,2 injection 1",STANDARD,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1122.cdf,Glic_3gl_40,20260512200940-0200,"$$ 2.1 vial 1:A,2 injection 1",STANDARD,40.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1127.cdf,Celob_1gl_5,20260512203503-0200,"$$ 2.1 vial 1:A,3 injection 1",STANDARD,5.0,1.0,410 ,MV,seconds,1502,25.016666666666666
B2ExportedRawData1132.cdf,Celob_1gl_10,20260512210028-0200,"$$ 2.1 vial 1:A,3 injection 1",STANDARD,10.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1137.cdf,Celob_1gl_20,20260512212552-0200,"$$ 2.1 vial 1:A,3 injection 1",STANDARD,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1142.cdf,Celob_1gl_40,20260512215120-0200,"$$ 2.1 vial 1:A,3 injection 1",STANDARD,40.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1147.cdf,Xil_1gl_5,20260512221643-0200,"$$ 2.1 vial 1:A,4 injection 1",STANDARD,5.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1152.cdf,Xil_1gl_10,20260512224208-0200,"$$ 2.1 vial 1:A,4 injection 1",STANDARD,10.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1157.cdf,xil_1gl_20,20260512230732-0200,"$$ 2.1 vial 1:A,4 injection 1",STANDARD,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1162.cdf,xil_1gl_40,20260512233301-0200,"$$ 2.1 vial 1:A,4 injection 1",STANDARD,40.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1167.cdf,E09-1,20260512235827-0200,"$$ 2.1 vial 1:A,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1172.cdf,E090,20260513002351-0200,"$$ 2.1 vial 1:A,6 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1177.cdf,E091,20260513004915-0200,"$$ 2.1 vial 1:A,7 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1182.cdf,E092,20260513011441-0200,"$$ 2.1 vial 1:A,8 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1187.cdf,E093,20260513014006-0200,"$$ 2.1 vial 1:B,1 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1192.cdf,E094,20260513020531-0200,"$$ 2.1 vial 1:B,2 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1197.cdf,E095,20260513023056-0200,"$$ 2.1 vial 1:B,3 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1202.cdf,E096,20260513025621-0200,"$$ 2.1 vial 1:B,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1207.cdf,E097,20260513032145-0200,"$$ 2.1 vial 1:B,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1212.cdf,E098,20260513034711-0200,"$$ 2.1 vial 1:B,6 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
