arquivo,sample_name,injection_date_time_stamp,sample_id_comments,sample_type,sample_injection_volume,sample_amount,detector_name,detector_unit,retention_unit,n_pontos,tempo_final_min
B2ExportedRawData1811.cdf,ESTR6-1,20260304045251-0200,"$$ 2.1 vial 1:D,2 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1841.cdf,ESTR9-2,20260304090636-0200,"$$ 2.1 vial 1:E,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1796.cdf,ESTR4-2,20260304024559-0200,"$$ 2.1 vial 1:C,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1763.cdf,ESTR0-3,20260303220649-0200,"$$ 2.1 vial 1:B,2 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1892.cdf,ESTR14-3,20260304155241-0200,"$$ 2.1 vial 2:A,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1874.cdf,ESTR12-3,20260304132025-0200,"$$ 2.1 vial 1:F,6 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1781.cdf,ESTR2-3,20260304003905-0200,"$$ 2.1 vial 1:B,8 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1784.cdf,ESTR3-1,20260304010428-0200,"$$ 2.1 vial 1:C,1 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1802.cdf,ESTR5-1,20260304033644-0200,"$$ 2.1 vial 1:C,7 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1793.cdf,ESTR4-1,20260304022036-0200,"$$ 2.1 vial 1:C,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1769.cdf,ESTR1-2,20260303225735-0200,"$$ 2.1 vial 1:B,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1753.cdf,ESTR-1-3,20260303205040-0200,"$$ 2.1 vial 1:A,7 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1838.cdf,ESTR9-1,20260304084114-0200,"$$ 2.1 vial 1:E,3 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
